utme;utmn;landmark_id;clan;year
725574;9841261;Smoke_Monster_Den;serena.s;2013
725146;9840846;Snowbird_Den;serena.s;2009
718914;9851295;Soda_Fountain_Den;serena.n;2009
719768;9848458;Some_Freaky_Lions_Den;serena.n;2018
724375;9842053;South_Den;serena.s;2008
743992;9831975;Special_Den;talek;2019
719940;9851218;St_Petersburg_Den;serena.n;2011
719632;9851320;Stockholm_Den;serena.n;2011
716325;9844272;Strasbourg_Den;happy.zebra;2011
725144;9840834;Submarine_Den;serena.s;2010
742514;9835091;Sugar_Daddy_Den;talek;2015
753495;9837319;Summer_Den;talek;2005
726881;9841004;Summit_Den;serena.s;2014
753524;9837427;Sunrise_Valley_Communal_Den/Natal_Den;talek;2001
724855;9840062;Superstar_Den;serena.s;2021
724791;9840072;Superstar_Den_2;serena.s;2021
724828;9840099;Superstar_Den_3;serena.s;2021
726298;9842460;Suzi_Den;serena.s;2008
726324;9842426;Suzi_Den_3;serena.s;2017
726321;9842497;Suzi_Den_II;serena.s;2009
726324;9842426;Suzi_Den_III;serena.s;2017
716351;9844270;Sweetgrass_Den;happy.zebra;2011
719639;9851358;Tallinn_Den;serena.n;2011
741030;9836512;Tangawizi_Den;talek;2015
724900;9841254;Temple_of_Artemis_Den;serena.s;2014
716373;9842739;Texarkana_Den;happy.zebra;2010
719609;9848844;The_Burrow_Den;serena.n;2023
727333;9840695;The_Hatch_Den;serena.s;2009
727253;9840510;The_Staff_Den;serena.s;2011
718946;9851053;Thug_Mansion_Den;serena.n;2010
719693;9838330;Tigris_Den;happy.zebra;2014
716446;9842598;Tijuana_Den;happy.zebra;2009
716339;9843900;Tiny_Violet_Princess_Den;happy.zebra;2016
743517;9837645;Triangle_Natal_Den;talek;2005
743517;9837645;Triangle_Natal_Den;talek;2006
724439;9841751;TSA_Den;serena.s;2017
752769;9838944;Tumo_Hill_Den;talek;2003
724950;9842127;Turret_Den;serena.s;2016
740208;9840942;Twister_Den;talek;2007
726356;9842540;Twix_Den;serena.s;2011
726354;9842516;Twix_Den_2;serena.s;2020
726305;9842484;Ugli_Den;serena.s;2015
723067;9846159;Uji_Den;serena.n;2014
722850;9847268;Unremarkable_Den;serena.n;2010
720189;9851280;Vaasa_Den;serena.n;2011
717253;9844123;Vandalism_Den;happy.zebra;2010
744705;9834929;Villa_Den;talek;2019
744689;9835065;Villa_Den_2;talek;2019
738957;9839999;Vulture_Den;talek;2006
722573;9844992;Wanderlust_Den;serena.n;2008
714577;9847556;Wapi_Dave_Den;happy.zebra;2018
744929;9839296;Waverly_Den;talek;2008
745254;9839856;Wayland_Den;talek;2008
718529;9849152;Whomping_Willow_Den;serena.n;2017
718655;9836894;Whooping_Cami_Den;happy.zebra;2014
718776;9849282;Wild_Berry_Den;serena.n;2023
716432;9842596;Windsor_Den;happy.zebra;2011
719217;9851000;WTF_Den;serena.n;2009
724943;9841096;Zeus_Den;serena.s;2014
