clan;year;session;location;landmark_id;utme;utmn
talek;2005;t54214;d;Fever_Tree_Natal_Den/Communal_Den_Complex;753681;9837484
talek;2005;t54215;o;Talek_Lugga_-_Top;744692;9840090
talek;2005;t54216;o;Talek_Lugga_-_Top;744949;9839678
talek;2005;t54217;o;Talek_Lugga_-_Top;744949;9839678
talek;2005;t54218;o;Border_Tree;744866;9839079
talek;2005;t54219;o;Border_Tree;745310;9838783
talek;2005;t54223;d;Fever_Tree_Natal_Den/Communal_Den_Complex;753681;9837484
talek;2005;t54224;o;SMR_D;753552;9837309
talek;2005;t54225;o;Hi_Step_X;753173;9835958
talek;2005;t54226;o;Hi_Step_X;753335;9835850
talek;2005;t54228;o;T_Stop;744506;9836888
talek;2005;t54229;o;T_Stop;744184;9836889
talek;2005;t54230;o;Suicide_X;752535;9837771
talek;2005;t54231;o;Middle_SRL_X;752677;9837028
talek;2005;t54237;o;Border_Tree;745172;9838906
talek;2005;t54238;o;Border_Tree;745170;9838916
talek;2005;t54239;o;Border_Tree;745147;9838862
talek;2005;t54240;o;Maji_Fisi;745018;9838398
talek;2005;t54241;o;Maji_Fisi;745018;9838398
talek;2005;t54242;o;Maji_Fisi;745018;9838398
talek;2005;t54243;o;Border_Tree;745310;9838783
talek;2005;t54244;o;Maji_Fisi;745018;9838398
talek;2005;t54245;o;Maji_Fisi;745018;9838398
talek;2005;t54246;o;Talek_Lugga_-_Top;744889;9839801
talek;2005;t54247;o;Border_Tree;745310;9838783
talek;2005;t54249;o;Middle_Sunrise_Lugga_Crossing;752433;9836689
talek;2005;t54250;o;Leopard_Crossing;752313;9836955
talek;2005;t54251;o;Rocky_Place;752687;9836115
talek;2005;t54253;o;Middle_SRL_X;752434;9836970
talek;2005;t54255;d;No_See_Em_Den;744984;9840806
talek;2005;t54256;o;LB_X;744264;9838740
talek;2005;t54259;k;Fig_Tree_Lugga_-_Top;744040;9839083
talek;2005;t54260;d;FF;752181;9836333
talek;2005;t54264;o;Maji_Fisi;745018;9838398
talek;2005;t54265;o;Maji_Fisi;745172;9838360
talek;2005;t54266;o;Maji_Fisi;745018;9838398
talek;2005;t54267;o;Maji_Fisi;745018;9838398
talek;2005;t54268;o;Maji_Fisi;745018;9838398
talek;2005;t54269;c;Talek_Lugga_-_Top;744818;9839785
talek;2005;t54270;o;Hi_Step_X;753320;9835586
talek;2005;t54271;o;Rocky_Pl;752730;9836100
talek;2005;t54274;o;Hi_Step_X;753338;9835850
talek;2005;t54275;o;Saga_L_X;746114;9838287
talek;2005;t54276;o;Border_Tree;745625;9838559
talek;2005;t54277;o;Talek_Lugga_-_Top;744772;9839219
talek;2005;t54278;d;Kinda-See-Em_Den;745124;9840497
talek;2005;t54279;o;Fig_Tree_Lugga_-_Top;744125;9840502
talek;2005;t54280;o;Fig_Tree_Lugga_-_Top;743545;9840187
talek;2005;t54282;k;Pdise_D;746094;9836683
talek;2005;t54283;o;SRP_T;753334;9836497
talek;2005;t54284;o;Middle_SRL_X;752418;9836994
talek;2005;t54285;o;Middle_SRL_X;752495;9837158
talek;2005;t54286;d;Fever_Tree_Natal_Den/Communal_Den_Complex;753681;9837484
talek;2005;t54287;o;Middle_SRL_X;752682;9836962
talek;2005;t54288;o;Fig_Tree_Lugga_-_Top;744320;9840048
talek;2005;t54289;o;SRP_T;752733;9837330
talek;2005;t54290;o;SRP_T;752951;9837551
talek;2005;t54291;o;Hi_Step_X;752471;9835243
talek;2005;t54292;o;SRP_T;752754;9837009
talek;2005;t54293;d;Fever_Tree_Natal_Den/Communal_Den_Complex;753681;9837484
talek;2005;t54297;o;FT_L_X;743582;9840574
talek;2005;t54298;o;Fig_Tree_Lugga_-_Top;743719;9840260
talek;2005;t54299;o;Leopard_Crossing;752456;9836994
talek;2005;t54304;o;Border_Tree;745217;9839170
talek;2005;t54305;o;Talek_Lugga_-_Top;744644;9839789
talek;2005;t54306;d;Kinda-See-Em_Den;745124;9840497
talek;2005;t54307;o;Fig_Tree_Lugga_-_Top;744227;9839980
talek;2005;t54308;o;Fig_Tree_Lugga_-_Top;743910;9840411
talek;2005;t54309;o;FT_L_X;743877;9840679
talek;2005;t54311;o;Fig_Tree_Lugga_-_Top;743944;9840003
talek;2005;t54312;d;Kinda-See-Em_Den;745124;9840497
talek;2005;t54314;k;Shooting_T;751639;9836855
talek;2005;t54318;o;Eleanor_T;752612;9835194
talek;2005;t54320;d;Kinda-See-Em_Den;745124;9840497
talek;2005;t54323;o;Fig_Tree_Lugga_-_Top;744321;9840090
