"";"landmark_id";"year";"session";"total_cubs"
"421";"Riverbend_Den";2012;"t76906";12
"422";"Riverbend_Den";2012;"t77278";12
"423";"Riverbend_Den";2012;"t77715";12
"424";"Riverbend_Den";2012;"t77789.8";12
"425";"Riverbend_Den";2012;"t77857";12
"426";"Riverbend_Den";2012;"t77887";12
"427";"Riverbend_Den";2013;"t80971";12
"428";"Riverbend_Den";2013;"t81003";12
"429";"Riverbend_Den";2013;"t81078";12
"430";"Riverbend_Den";2013;"t81978";12
"431";"Riverbend_Den";2013;"t82008";12
"432";"Riverbend_Den";2013;"t82134";12
"433";"Riverbend_Den";2013;"t82213";12
"434";"Riverbend_Den";2013;"t82489";12
"435";"Riverbend_Den";2014;"t85935";12
"436";"Riverbend_Den";2022;"t131190";12
"437";"Riverbend_Den";2022;"t131199";12
"438";"Riverbend_Den";2022;"t131259";12
"439";"Riverbend_Den";2022;"t131283";12
"440";"Roosevelt's_Natal_Den_2014";2014;"t86940";12
"441";"Runway_Den";2019;"s109592";12
"442";"Runway_Den";2020;"s110573.1";12
"443";"Runway_Den";2020;"s110630";12
"444";"Runway_Den";2020;"s110665";12
"445";"Runway_Den";2020;"s110700";12
"446";"Runway_Den";2020;"s110716";12
"447";"Runway_Den_3";2019;"s109466";12
"448";"Runway_Den_3";2019;"s109491";12
"449";"Schiphol_Den";2013;"s10459";12
"450";"Schiphol_Den";2013;"s10472";12
"451";"Schiphol_Den";2013;"s10538";12
"452";"Schiphol_Den";2013;"s10563.1";12
"453";"Schiphol_Den";2013;"s10595";12
"454";"Snowbird_Den";2019;"s109636";12
"455";"Snowbird_Den";2019;"s109637";12
"456";"Snowbird_Den";2019;"s109641";12
"457";"Snowbird_Den";2019;"s109643";12
"458";"Snowbird_Den";2019;"s109644";12
"459";"Snowbird_Den";2019;"s109653";12
"460";"Snowbird_Den";2019;"s109655";12
"461";"Snowbird_Den";2019;"s109664";12
"462";"Snowbird_Den";2019;"s109665";12
"463";"Snowbird_Den";2019;"s109669";12
"464";"Snowbird_Den";2019;"s109676";12
"465";"Tigris_Den";2014;"s12858";12
"466";"Tigris_Den";2014;"s12867";12
"467";"Tigris_Den";2014;"s12881";12
"468";"Tigris_Den";2014;"s12893";12
"469";"Tigris_Den";2014;"s12912";12
"470";"Tigris_Den";2014;"s12919";12
"471";"Tigris_Den";2014;"s12930";12
"472";"Tigris_Den";2014;"s12931";12
"473";"Tigris_Den";2014;"s12934";12
"474";"Tigris_Den";2014;"s12941";12
"475";"Tigris_Den";2014;"s12955";12
"476";"Tigris_Den";2014;"s12960";12
"477";"Tigris_Den";2014;"s12966";12
"478";"Tigris_Den";2014;"s12980";12
"479";"Tijuana_Den";2020;"s111012";12
"480";"Uji_Den";2014;"s13902";12
"481";"Wayland_Den";2008;"t64179";12
"482";"Whomping_Willow_Den";2018;"s23107";12
"483";"Windsor_Den";2012;"s9462";12
"484";"Windsor_Den";2012;"s9506";12
"485";"Alamo_Natal_Den";2011;"t73378";11
"486";"Angry_Ele_Den";2017;"s21747";11
"487";"Bastion_Den";2016;"s20310";11
"488";"Beanie_Baby_Den";2023;"s117956.1";11
"489";"Beanie_Baby_Den";2023;"s132074";11
"490";"Beanie_Baby_Den";2023;"s132121";11
"491";"Big_Bush_Communal_Den";2017;"t99773";11
"492";"Big_Bush_Communal_Den";2017;"t99781";11
"493";"Big_Bush_Den";2011;"t75175";11
"494";"Bumps_Den";2023;"S117708";11
"495";"Calexico_Den";2012;"s9530";11
"496";"Calexico_Den";2012;"s9533";11
"497";"Cannibal_Cami_Den";2015;"s16385";11
"498";"Cannibal_Cami_Den";2015;"s16609";11
"499";"Central_Park_Communal_Den";2013;"t80716";11
"500";"Central_Park_Communal_Den";2013;"t80838";11
"501";"Central_Park_Communal_Den";2013;"t80901";11
"502";"Central_Park_Communal_Den";2013;"t81592";11
"503";"Central_Park_Communal_Den";2013;"t81695";11
"504";"Central_Park_Communal_Den";2013;"t81747";11
"505";"Central_Park_Communal_Den";2013;"t81989";11
