session;landmark_id;date;year;month;day;clan;utme;utmn;category
s109077;DeGaulle_Den;2019-05-11;2019;05;11;serenan;723652;9844975;cd
s10908;DeGaulle_Den;2013-08-09;2013;08;09;serenan;723652;9844975;cd
s10909;DeGaulle_Den;2013-08-09;2013;08;09;serenan;723652;9844975;cd
s109092;DeGaulle_Den;2019-05-13;2019;05;13;serenan;723652;9844975;cd
s109097;DeGaulle_Den;2019-05-13;2019;05;13;serenan;723652;9844975;cd
s109099;DeGaulle_Den;2019-05-16;2019;05;16;serenan;723652;9844975;cd
s109102;DeGaulle_Den;2019-05-16;2019;05;16;serenan;723652;9844975;cd
s109108;DeGaulle_Den;2019-05-18;2019;05;18;serenan;723652;9844975;cd
s109109;DeGaulle_Den;2019-05-19;2019;05;19;serenan;723652;9844975;cd
s10911;Mindy's_Den;2013-08-10;2013;08;10;serenan;721772;9847129;cd
s109112;DeGaulle_Den;2019-05-21;2019;05;21;serenan;723652;9844975;cd
s109115;DeGaulle_Den;2019-05-21;2019;05;21;serenan;723652;9844975;cd
s109117;DeGaulle_Den;2019-05-23;2019;05;23;serenan;723652;9844975;cd
s109118;DeGaulle_Den;2019-05-23;2019;05;23;serenan;723652;9844975;cd
s10912;DeGaulle_Den;2013-08-10;2013;08;10;serenan;723652;9844975;cd
s109121;DeGaulle_Den;2019-05-26;2019;05;26;serenan;723652;9844975;cd
s109123;DeGaulle_Den;2019-05-29;2019;05;29;serenan;723652;9844975;cd
s10913;DeGaulle_Den;2013-08-10;2013;08;10;serenan;723652;9844975;cd
s109132;DeGaulle_Den;2019-06-01;2019;06;01;serenan;723652;9844975;cd
s109135;DeGaulle_Den;2019-06-04;2019;06;04;serenan;723652;9844975;cd
s109139;DeGaulle_Den;2019-06-05;2019;06;05;serenan;723652;9844975;cd
s10914;DeGaulle_Den;2013-08-10;2013;08;10;serenan;723652;9844975;cd
s109140;DeGaulle_Den;2019-06-05;2019;06;05;serenan;723652;9844975;cd
s109146;DeGaulle_Den;2019-06-05;2019;06;05;serenan;723652;9844975;cd
s109147;DeGaulle_Den;2019-06-08;2019;06;08;serenan;723652;9844975;cd
s109155;DeGaulle_Den;2019-06-11;2019;06;11;serenan;723652;9844975;cd
s109159;DeGaulle_Den;2019-06-11;2019;06;11;serenan;723652;9844975;cd
s10916;DeGaulle_Den;2013-08-11;2013;08;11;serenan;723652;9844975;cd
s109163;DeGaulle_Den;2019-06-13;2019;06;13;serenan;723652;9844975;cd
s109168;DeGaulle_Den;2019-06-15;2019;06;15;serenan;723652;9844975;cd
s109172;DeGaulle_Den;2019-06-15;2019;06;15;serenan;723652;9844975;cd
s109174;DeGaulle_Den;2019-06-16;2019;06;16;serenan;723652;9844975;cd
s109176;DeGaulle_Den;2019-06-19;2019;06;19;serenan;723652;9844975;cd
s109177;DeGaulle_Den;2019-06-20;2019;06;20;serenan;723652;9844975;cd
s109179;DeGaulle_Den;2019-06-22;2019;06;22;serenan;723652;9844975;cd
s10918;DeGaulle_Den;2013-08-12;2013;08;12;serenan;723652;9844975;cd
s109184;DeGaulle_Den;2019-06-23;2019;06;23;serenan;723652;9844975;cd
s109186;DeGaulle_Den;2019-06-24;2019;06;24;serenan;723652;9844975;cd
s109191;DeGaulle_Den;2019-06-25;2019;06;25;serenan;723652;9844975;cd
s109194;DeGaulle_Den;2019-06-26;2019;06;26;serenan;723652;9844975;cd
s10920;DeGaulle_Den;2013-08-12;2013;08;12;serenan;723652;9844975;cd
s10921;DeGaulle_Den;2013-08-13;2013;08;13;serenan;723652;9844975;cd
s10923;DeGaulle_Den;2013-08-14;2013;08;14;serenan;723652;9844975;cd
s10927;DeGaulle_Den;2013-08-15;2013;08;15;serenan;723652;9844975;cd
s109277;Lugga_Den_II;2019-04-02;2019;04;02;happyzebra;718642;9844590;cd
s109279;Wapi_Dave_Den;2019-04-05;2019;04;05;happyzebra;714577;9847556;cd
s109282;Wapi_Dave_Den;2019-04-07;2019;04;07;happyzebra;714577;9847556;cd
s109283;Lugga_Den_II;2019-04-07;2019;04;07;happyzebra;718642;9844590;cd
