landmark_id;utme;utmn;clan
Yoplait_Den;741720;9836168;talek
Roosevelt's_Natal_Den_2014;741941;9835865;talek
DOC_Communal_Den;747634;9837096;talek
Milkyway_Den;742848;9835677;talek
Argon's_Natal_Den_2014;743021;9835986;talek
Maggie_Den;742990;9835692;talek
Cash_Den;747481;9837043;talek
Pole_not_Pole_Den;743572;9837544;talek
Singizi_Den;747084;9835640;talek
Handsome_H_Tree;743566;9837466;talek
Lucky_Leopard_Den;742437;9836924;talek
Nook;747100;9835502;talek
Pond_Lugga_Crossing;743070;9836024;talek
Kinda_See_Em_Den_Three;745114;9840561;talek
Lazy_French_Den;741547;9835066;talek
Tangawizi_Den;741030;9836512;talek
Latrine;744470;9835638;talek
Three_Sisters;741492;9836298;talek
Photogenic_Tree;742761;9836578;talek
Nomadic_Den;741877;9835276;talek
Sugar_Daddy_Den;742514;9835091;talek
Candybar_Crossing;742442;9834986;talek
Love_Stinks_Den;741286;9836630;talek
Saga_Lugga;746095;9838250;talek
No_Name_Hill_Tree;748044;9837449;talek
Stupid_Bushes,_Northwest_Edge;746431;9837129;talek
Cheetah_Tree_Crossing;748565;9837620;talek
