landmark_id,utme,utmn,clan,X,Y
Frittata_Den,723884,9846260,serenan,35.01216127,-1.390068172
Pancake_Den,723933,9845900,serenan,35.01260423,-1.393322785
Chex_Den,723983,9846130,serenan,35.01305166,-1.391242822
Bergen_Den,720253,9851464,serenan,34.97950224,-1.343042261
Vaasa_Den,720189,9851280,serenan,34.97892862,-1.344706427
Kolding_Den,720256,9851264,serenan,34.97953065,-1.344850605
Little_Big_Horn_D,719101,9840221,happyzebra,34.96923735,-1.444708546
Salander_Den,720032,9850724,serenan,34.97752221,-1.34973484
Riga_Den,720119,9850866,serenan,34.97830277,-1.34845026
Rio_Grande_Den,716415,9843882,happyzebra,34.94507766,-1.411626675
Sweetgrass_Den,716351,9844270,happyzebra,34.94449976,-1.408118858
Sault_St._Marie_Den,716352,9844324,happyzebra,34.94450834,-1.407630581
Cocobeach_Den,716199,9844306,happyzebra,34.94313389,-1.407794491
Strasbourg_Den,716325,9844272,happyzebra,34.94426616,-1.40810097
Hit_and_Run_Den,716588,9845972,happyzebra,34.94661632,-1.392727579
Embezzlement_Den,716439,9845940,happyzebra,34.94527792,-1.393018036
Driving_under_the_Influence_Den,716653,9846058,happyzebra,34.94719965,-1.391949482
Alamo_Den,719098,9840106,happyzebra,34.9692113,-1.445748385
Burnt_Crossing,715967,9841842,happyzebra,34.94106812,-1.430075805
Juarez_Den,716375,9842579,happyzebra,34.94472813,-1.423408719
Krakow_Den,719919,9851134,serenan,34.97650405,-1.346028515
Malmö_Den,720175,9851218,serenan,34.9788033,-1.345267123
Guca_Den,720474,9851196,serenan,34.98148962,-1.345463849
Belgrade_Den,719841,9851154,serenan,34.97580317,-1.345848249
Budapest_Den,719781,9851170,serenan,34.97526402,-1.345704019
New_Queen's_Throne_Natal_Den,719751,9851136,serenan,34.97499475,-1.346011662
Emma_Natal_Den_2_2012,719731,9847250,serenan,34.97484372,-1.381148447
Emma_Natal_Den_2012,719768,9847218,serenan,34.97517637,-1.381437508
Merry_Christmas_Den,719746,9847140,serenan,34.9749793,-1.382142938
Kahana_Den,727319,9840910,serenas,35.04306262,-1.438413355
Nightmare_Den,727399,9840910,serenas,35.04378133,-1.438412707
Flashforward_Den,727377,9840658,serenas,35.04358571,-1.440691334
Java_House_Den,727353,9840692,serenas,35.04336983,-1.440384119
Oxytocin_Den,724934,9841116,serenas,35.02163446,-1.436569997
Mexicalli_Den,716255,9842748,happyzebra,34.94364873,-1.421881533
Happy_New_Year_Den,719821,9847114,serenan,34.9756533,-1.382377462
Pile-o-rocks_Crossing,721209,9848004,serenan,34.98811632,-1.374319802
Rhombush,720508,9848034,serenan,34.98181839,-1.374053817
Big_Bush_Communal_Den,748061,9838502,talek,35.22941485,-1.460006962
Big_Bush_Den,748061,9838502,talek,35.22941485,-1.460006962
Resurrection_Main_Den,747453,9838546,talek,35.22395291,-1.459614631
Lala_Den,744591,9841032,talek,35.19822216,-1.437165263
Green_Den,729719,9840569,talek,35.06462639,-1.441476919
Dicks_Den,747390,9837245,talek,35.2233986,-1.471376751
Fireworks_Den,741990,9840708,talek,35.17486024,-1.440116966
Den_One_Creek_Den_Complex,747634,9837096,talek,35.22559175,-1.472721568
Fig_Tree_Lugga_-_Top,743852,9840260,talek,35.19159046,-1.444151024
Flintstone_Den,747000,9837149,talek,35.21989613,-1.472248143
Tawny_Tree,743097,9840863,talek,35.18480311,-1.438706094
Daffy_Duck_Shrub,747248,9837085,talek,35.22212446,-1.472824495
Lone_Ranger_Natal_Den,747004,9836618,talek,35.21993682,-1.477048569
Man_Bush,745939,9837669,talek,35.21036061,-1.467556628
Leopard_Sex_Crossing,747704,9837000,talek,35.22622142,-1.473588812
Farmer's_Den,739847,9835373,talek,35.15565554,-1.488368092
Resurrection_Communal_Den,747569,9838508,talek,35.22499526,-1.459957128
Central_Park_Communal_Den,746472,9838970,talek,35.21513698,-1.455790236
Mountaineer_Den,747043,9838583,talek,35.22026962,-1.459283799
Cliff_Den,746018,9837982,talek,35.21106749,-1.464726254
Magic_Bush_Den,746745,9838653,talek,35.21759211,-1.458653627
Nimekufa_Kindani_Den,742941,9831923,talek,35.1834808,-1.519530769
Special_Den,743992,9831975,talek,35.19292176,-1.519051031
Doom's_Day_Den_2,746900,9838610,talek,35.21898483,-1.459040983
Cliff_Den_2,746082,9837966,talek,35.21164254,-1.46487033
Landscape_Den,744658,9833984,talek,35.19888634,-1.500882458
Landscape_Den_2,744819,9833984,talek,35.20033263,-1.500880994
Villa_Den,744705,9834929,talek,35.19930003,-1.492338718
Sayialel_Crossing,746881,9838682,talek,35.21881352,-1.458390242
Cool_Beans_Bush,744761,9835143,talek,35.19980116,-1.490403536
Villa_Den_2,744689,9835065,talek,35.19915508,-1.491109349
Confusing_Den,744211,9832288,talek,35.19488624,-1.516219323
Confusing_Den_2,744327,9831969,talek,35.19593121,-1.519102198
Confusing_Den_3,744260,9831828,talek,35.19533062,-1.520377534
Greenland_Den,743636,9832955,talek,35.18971482,-1.510194509
NUDI's_Den,744086,9832317,talek,35.19376307,-1.515958292
Dave_Den,747491,9837478,talek,35.22430378,-1.469269429
Dave's_Den,747491,9837478,talek,35.22430378,-1.469269429
Croton_Edge_Communal_Den,746952,9837148,talek,35.21946496,-1.472257616
NUDI's_Den_2,744117,9832275,talek,35.19404193,-1.516337712
Acacia_Den,749375,9838582,talek,35.24121748,-1.459271925
Aardwolf_Communal_Den,745294,9838050,talek,35.20456323,-1.464117949
Plantation_Den,746293,9839498,talek,35.2135244,-1.451018463
Olosogon_West_Bank_Natal_Den,754909,9835790,talek,35.29095277,-1.484461118
Fever_Tree_Natal_Den/Communal_Den_Complex,753681,9837484,talek,35.27990659,-1.469158762
Twin_Tree_Crossing,754110,9836521,talek,35.28376896,-1.477860338
Sunrise_Valley_Communal_Den/Natal_Den,753524,9837427,talek,35.27849686,-1.469675493
Maji_Fisi,745018,9838398,talek,35.20208086,-1.460974298
Dream_Camp,746192,9838993,talek,35.21262157,-1.455584791
Base_Natal_Den/Communal_Den,746442,9838893,talek,35.21486818,-1.456486617
Doom's_Day_Den,747037,9838562,talek,35.22021591,-1.459473701
Paradise_Den,746378,9836793,talek,35.21431193,-1.475472138
Aardvark_Road_Trees,746563,9836736,talek,35.21597429,-1.475985777
Magic_Culvert,747371,9836013,talek,35.223239,-1.482514691
Ranger_Den,745281,9840331,talek,35.20442644,-1.443496651
No_See_Em_Den,744984,9840806,talek,35.2017544,-1.439205
Alternate_Aardvark_Communal_Den,746470,9837032,talek,35.21513623,-1.473310642
Holiday_Communal_Den,746505,9836828,talek,35.21545245,-1.475154579
Tumo_Hill_Den,752769,9838944,talek,35.27170123,-1.455968622
